id,date,author,shortDescription,longDescription,status,useCaseReference,documentReference,approver,acceptanceCriterion,priority,userScope,dueDate,conflicts,dependencies,comments,category,revision,createdAt,updatedAt,historyJson
PL-009,2026-05-12,Design Team,Allow One Word Redraw,Players shall be allowed to redraw their assigned word only once per game,Draft,UC-Gameplay-03,Gameplay Rules,Product Owner,Second redraw attempt is blocked,Medium,Player,2026-06-18,None,PL-004,Prevent abuse | Changelog: Initial requirement,Gameplay,1,2026-05-12T00:00:00.000Z,2026-05-12T00:00:00.000Z,[]
SYS-001,2026-05-12,Design Team,End Game Automatically,System shall automatically end the game when only one active player remains,Draft,UC-Endgame-01,Gameplay Logic Spec,Technical Lead,End screen appears automatically,Critical,System,2026-06-25,None,PL-006,Winner determination required | Changelog: Initial requirement,Endgame,1,2026-05-12T00:00:00.000Z,2026-05-12T00:00:00.000Z,[]
SYS-002,2026-05-12,Design Team,Display Leaderboard,All participants shall see a leaderboard with kill counts after game end,Draft,UC-Endgame-02,Mobile UX Spec,Product Owner,Leaderboard visible to all players,High,All Users,2026-06-25,None,SYS-001,Sort descending | Changelog: Initial requirement,Endgame,1,2026-05-12T00:00:00.000Z,2026-05-12T00:00:00.000Z,[]
GM-008,2026-05-12,Design Team,Remove Cancelled Player,GameMaster shall be able to remove players who cancelled participation,Draft,UC-Admin-01,Admin UX Spec,Product Owner,Removed player disappears from graph,High,GameMaster,2026-06-15,None,GM-004,Requires graph regeneration logic | Changelog: Initial requirement,Administration,1,2026-05-12T00:00:00.000Z,2026-05-12T00:00:00.000Z,[]
GM-009,2026-05-12,Design Team,Select Graph Reconnection Strategy,GameMaster shall decide whether predecessor or successor word remains after removing a player,Draft,UC-Admin-02,Gameplay Rules,Technical Lead,Selected rule applied correctly,Medium,GameMaster,2026-06-15,None,GM-008,Edge cases with 2 players | Changelog: Initial requirement,Administration,1,2026-05-12T00:00:00.000Z,2026-05-12T00:00:00.000Z,[]
GM-010,2026-05-12,Design Team,Dynamically Add Late Player,GameMaster shall be able to add late-arriving players during the lobby phase,Draft,UC-Admin-03,Backend Spec,Product Owner,Player inserted successfully,High,GameMaster,2026-06-18,None,GM-006,Only before game start | Changelog: Initial requirement,Administration,1,2026-05-12T00:00:00.000Z,2026-05-12T00:00:00.000Z,[]
GM-011,2026-05-12,Design Team,Insert Late Player Before Unassigned Users,System shall insert late players only before players without lobby association,Draft,UC-Admin-04,Gameplay Logic Spec,Technical Lead,Existing active players remain stable,Medium,System,2026-06-18,None,GM-010,Preserve fairness | Changelog: Initial requirement,Administration,1,2026-05-12T00:00:00.000Z,2026-05-12T00:00:00.000Z,[]
GM-012,2026-05-12,Design Team,Change Assigned Word,GameMaster shall be able to manually change a player's target word,Draft,UC-Admin-05,Admin UX Spec,Product Owner,Updated word visible immediately,Medium,GameMaster,2026-06-20,None,PL-004,Audit log needed | Changelog: Initial requirement,Administration,1,2026-05-12T00:00:00.000Z,2026-05-12T00:00:00.000Z,[]
GM-013,2026-05-12,Design Team,Reassociate Lobby Identity,GameMaster shall be able to reassign a player identity to another lobby code,Draft,UC-Admin-06,Backend Spec,Product Owner,Player regains access successfully,High,GameMaster,2026-06-20,None,GM-007,Recovery workflow | Changelog: Initial requirement,Administration,1,2026-05-12T00:00:00.000Z,2026-05-12T00:00:00.000Z,[]
SYS-003,2026-05-12,Design Team,Real-Time Synchronization,System shall synchronize gameplay state across all connected devices in real time,Draft,UC-System-01,Architecture Spec,Technical Lead,State updates propagate within 2 seconds,Critical,System,2026-06-25,None,All gameplay modules,WebSocket recommended | Changelog: Initial requirement,System,1,2026-05-12T00:00:00.000Z,2026-05-12T00:00:00.000Z,[]
SYS-004,2026-05-12,Design Team,Persist Game State,System shall persist game state to prevent data loss during disconnects,Draft,UC-System-02,Backend Spec,Technical Lead,Session can recover after restart,High,System,2026-06-28,None,SYS-003,Database-backed | Changelog: Initial requirement,System,1,2026-05-12T00:00:00.000Z,2026-05-12T00:00:00.000Z,[]
SEC-001,2026-05-12,Design Team,Restrict Sensitive Information,Players shall only see information relevant to their own mission,Draft,UC-Security-01,Security Spec,Technical Lead,Unauthorized information inaccessible,Critical,Player,2026-06-28,None,Authentication system,Prevent cheating | Changelog: Initial requirement,Security,1,2026-05-12T00:00:00.000Z,2026-05-12T00:00:00.000Z,[]
SEC-002,2026-05-12,Design Team,Validate Kill Ownership,System shall validate that a kill badge belongs to the reported victim,Draft,UC-Security-02,Badge Spec,Technical Lead,Invalid badge entries rejected,Critical,System,2026-06-25,None,PL-005,Anti-cheat | Changelog: Initial requirement,Security,1,2026-05-12T00:00:00.000Z,2026-05-12T00:00:00.000Z,[]
UX-001,2026-05-12,Design Team,Mobile Optimized Player Interface,Player-facing interfaces shall be optimized for mobile devices,Draft,UC-UX-01,UI Guidelines,Product Owner,Interface usable on standard smartphone sizes,High,Player,2026-06-15,None,PL-001,Responsive design | Changelog: Initial requirement,UX,1,2026-05-12T00:00:00.000Z,2026-05-12T00:00:00.000Z,[]
UX-002,2026-05-12,Design Team,Desktop Optimized GM Interface,GameMaster setup interface shall be optimized for desktop usage,Draft,UC-UX-02,UI Guidelines,Product Owner,Setup workflow usable on desktop,High,GameMaster,2026-06-10,None,GM-001,Table-oriented UI | Changelog: Initial requirement,UX,1,2026-05-12T00:00:00.000Z,2026-05-12T00:00:00.000Z,[]
